author_id,author_name
1,Lewis Carroll
2,L. Frank Baum
3,Robert Louis Stevenson
4,Jonathan Swift
5,Niccol Machiavelli
6,Kenneth Grahame
7,Michael Hague
8,John Burningham
9,David Roberts
10,Oxford Editor
11,Guo man
12,Yang Ma
13,Ernest H. Shepard
14,Charles Van Sandwyk
15,Katie Dicker
16,Edith Nesbit
17,William Shakespeare
18,Arthur Conan Doyle
19,J.R.R. Tolkien
20,George Orwell
21,Carlo Collodi
22,J. M. Barrie
23,Jules Verne
24,George MacDonald
25,Antoine de Saint-Exupry
26,J. K. Rowling
27,Rudyard Kipling
28,Ruth Plumly Thompson
29,Joseph Conrad
30,
31,Jim Weiss
32,Grahame Kenneth
33,Hugh Lofting
34,William Morris
35,Jim Kay
36,Roald Dahl
37,Edgar Rice Burroughs
38,Gabriel Garcia Marquez
39,William Norris
40,William
41,Morris
42,WILLIAM MORRIS
43,Random House
44,Charles Kingsley
45,James Branch Cabell
46,C.S. Lewis
47,E. B. White
48,Philip Pullman
49,Mary GrandPr
50,James Hilton
51,Maurice Sendak
52,Sax Rohmer
53,James De Mille
54,Michael Ende
55,Katherine Paterson
56,Suzanne Collins
57,Rick Riordan
58,Richard Adams
59,Stephen King
60,Eoin Colfer
61,Terry Pratchett
62,Stephenie Meyer
63,George R. R. Martin
64,Dr. Seuss
65,Simon Mugford
66,H. G. Wells
67,Brothers Grimm
68,Neil Gaiman
69,T. H. White
70,Ursula K. Le Guin
71,Hans Christian Andersen
72,Elsa Beskow
73,Michael Foreman
74,Michael Morpurgo
75,Kimberley Reynolds
76,Catherine Babok
77,Susannah Mary Paull
78,Algernon Blackwood
79,Joseph Jacobs
80,John D Batten
81,Gloria Cardew
82,Joseph JACOBS
83,Jacobs
84,Ed
85,Joseph
86,John Dickson Batten
87,Margaret Cavendish
88,Selma Lagerlf
89,Robert Jordan
90,Anne McCaffrey
91,Casper Van Dien
92,Franke
93,Henry G.
94,3rd
95,Joe Jusko
96,Charles Perrault
97,Peter Straub
98,Norton Juster
99,Douglas Adams
100,Christopher Paolini
101,Ray Bradbury
102,Cornelia Funke
103,Esther Roig Gimnez
104,Ernest Riera
105,Kazuki Takahashi
106,John Kendrick Bangs
107,Susan Cooper
108,P. L. Travers
109,Philippa Pearce
110,Yayoi Kusama
111,Bernadette Watts
112,Tove Jansson
113,Jeff Brown
114,Jon Mitchell
115,Tomi Ungerer
116,Tony Ross
117,Don Freeman
118,Terry Goodkind
119,Kate DiCamillo
120,Paul Kidby
121,Gregory Maguire
122,Patrick Rothfuss
123,Nigel Planer
124,Tony Robinson
125,Susanna Clarke
126,Brian Jacques
127,Margaret Atwood
128,Mnica Faerna
129,Patrick Marcel
130,Llus Delgado
131,Oriol Hernndez
132,Ken Akamatsu
133,Richard Francis Burton
134,Ernest Henry Griset
135,Isabel Lady Burton
136,Ernest Griset
137,Enid Blyton
138,Ruth Stiles Gannett
139,Justin Cronin
140,Lloyd Alexander
141,Joris-Karl Huysmans
142,Diana Gabaldon
143,Leo Lionni
144,Xos Manuel Gonzlez
145,Ignasi Centelles
146,Javier Calvo Perales
147,William Hope Hodgson
148,Syd Hoff
149,Alexander
150,Walter De la Mare
151,Fitch
152,Janet
153,John Masefield
154,Brajan Dzhejks
155,Brian Jacques - undifferentiated
156,Diana Wynne Jones
157,Rik Mayall
158,Garth Nix
159,Eric Rcker Eddison
160,John Norman
161,Joan Aiken
162,Madeleine L'Engle
163,Brandon Sanderson
164,Isabel Allende
165,Salman Rushdie
166,Joseph A. McCullough
167,A. A. Milne
168,Charlaine Harris
169,Chris Colfer
170,Ralph Lister
171,Bruno Martin
172,David Mitchell
173,Terry Brooks
174,Erin Hunter
175,Joseph Delaney
176,Jeanne DuPrau
177,A. Merritt
178,Stephen Briggs
179,Mary Stewart
180,Mary Stwart
181,Barbara Lanza
182,Kari James
183,Lynne Reid Banks
184,Gail Carson Levine
185,Arthur Christopher Benson
186,Cressida Cowell
187,Edward Everett Hale
188,Astrid Lindgren
189,Jack Thorne
190,John Tiffany
191,James Patterson
192,Valentina de Angelis
193,Margaret Weis
194,Tracy Hickman
195,Andrew Dabb
196,Paul Boehmer
197,Andrew Lang
198,Paul Stewart
199,Chris Riddell
200,Volker Niederfahrenhorst
201,Leigh Bardugo
202,Georges Ivanovitch Gurdjieff
203,A. Orage
204,Jeanne de Salzmann
205,Henri Tracol
206,Derek Landy
207,LANDY DEREK
208,Tom Percival
209,Russell Hoban
210,David Small
211,Jonathan Stroud
212,Mary Louisa Molesworth
213,Brian Michael Bendis
